GEO_ID,id,NAME,Population,Population_Drivers,PERCENT_Drivers
,,,,,
0400000US36,0US36,New York,9440371,4847286,51.34635069
0500000US36001,36001,"Albany County, New York",159242,113385,71.20294897
0500000US36003,36003,"Allegany County, New York",18635,14175,76.06654145
0500000US36005,36005,"Bronx County, New York",578177,139285,24.09037371
0500000US36007,36007,"Broome County, New York",83829,65023,77.56623603
0500000US36009,36009,"Cattaraugus County, New York",32313,25955,80.32370872
0500000US36011,36011,"Cayuga County, New York",34036,27882,81.91914444
0500000US36013,36013,"Chautauqua County, New York",53906,42554,78.94111973
0500000US36015,36015,"Chemung County, New York",36093,29313,81.21519408
0500000US36017,36017,"Chenango County, New York",20926,16658,79.60431998
0500000US36019,36019,"Clinton County, New York",35223,28119,79.83136019
0500000US36021,36021,"Columbia County, New York",28650,20983,73.2390925
0500000US36023,36023,"Cortland County, New York",22528,16971,75.33291903
0500000US36025,36025,"Delaware County, New York",19082,13923,72.96404989
0500000US36027,36027,"Dutchess County, New York",144606,107141,74.09166978
0500000US36029,36029,"Erie County, New York",454568,355599,78.2278999
0500000US36031,36031,"Essex County, New York",16721,12502,74.76825549
0500000US36033,36033,"Franklin County, New York",18208,13976,76.75746924
0500000US36035,36035,"Fulton County, New York",23901,19632,82.13882264
0500000US36037,36037,"Genesee County, New York",28404,23271,81.92860161
0500000US36039,36039,"Greene County, New York",21225,15928,75.04358068
0500000US36041,36041,"Hamilton County, New York",2142,1579,73.71615313
0500000US36043,36043,"Herkimer County, New York",27468,21875,79.63812436
0500000US36045,36045,"Jefferson County, New York",53880,42034,78.01410542
0500000US36047,36047,"Kings County, New York",1233234,225134,18.25557842
0500000US36049,36049,"Lewis County, New York",11791,9162,77.70333305
0500000US36051,36051,"Livingston County, New York",28098,22010,78.33297744
0500000US36053,36053,"Madison County, New York",30828,24188,78.46113922
0500000US36055,36055,"Monroe County, New York",365270,279791,76.59840666
0500000US36057,36057,"Montgomery County, New York",21231,16741,78.85167915
0500000US36059,36059,"Nassau County, New York",687971,446046,64.83500031
0500000US36061,36061,"New York County, New York",886916,51759,5.835840147
0500000US36063,36063,"Niagara County, New York",98703,80771,81.83236578
0500000US36065,36065,"Oneida County, New York",100939,79810,79.06755565
0500000US36067,36067,"Onondaga County, New York",221341,169055,76.37762547
0500000US36069,36069,"Ontario County, New York",54822,43764,79.82926562
0500000US36071,36071,"Orange County, New York",182485,132124,72.40266323
0500000US36073,36073,"Orleans County, New York",17089,13103,76.67505413
0500000US36075,36075,"Oswego County, New York",53700,43183,80.41527002
0500000US36077,36077,"Otsego County, New York",26584,19953,75.05642492
0500000US36079,36079,"Putnam County, New York",49265,36263,73.60803816
0500000US36081,36081,"Queens County, New York",1125992,369613,32.82554405
0500000US36083,36083,"Rensselaer County, New York",78782,60607,76.93000939
0500000US36085,36085,"Richmond County, New York",219581,119976,54.63860717
0500000US36087,36087,"Rockland County, New York",146913,102368,69.67933403
0500000US36089,36089,"St. Lawrence County, New York",43493,33563,77.1687398
0500000US36091,36091,"Saratoga County, New York",122411,97596,79.72812901
0500000US36093,36093,"Schenectady County, New York",72887,55403,76.01218324
0500000US36095,36095,"Schoharie County, New York",13233,10261,77.54099599
0500000US36097,36097,"Schuyler County, New York",7933,6069,76.50321442
0500000US36099,36099,"Seneca County, New York",14935,11600,77.66990291
0500000US36101,36101,"Steuben County, New York",41632,33178,79.693505
0500000US36103,36103,"Suffolk County, New York",760938,583559,76.68942805
0500000US36105,36105,"Sullivan County, New York",31768,25431,80.05225384
0500000US36107,36107,"Tioga County, New York",22477,18818,83.72113716
0500000US36109,36109,"Tompkins County, New York",50761,28293,55.73767262
0500000US36111,36111,"Ulster County, New York",85432,62499,73.1564285
0500000US36113,36113,"Warren County, New York",31953,25887,81.01586705
0500000US36115,36115,"Washington County, New York",27462,22382,81.50171146
0500000US36117,36117,"Wayne County, New York",43322,35394,81.69982919
0500000US36119,36119,"Westchester County, New York",485787,261955,53.92383905
0500000US36121,36121,"Wyoming County, New York",17911,14654,81.81564402
0500000US36123,36123,"Yates County, New York",10738,7560,70.4041721